"Timestamp","What is your height? (Inches)","What is your age?","What is your gender?","What is your shoe size?","Gold and White? or Blue and Black?","Edward or Jacob?","100 duck-sized horses or 1 horse-sized duck?","Pam and Jim? Or Kevin?"
"2022/05/12 1:29:49 PM CDT","62","20","Male","7.5","Blue and Black","Edward. (Hot vampire. Need I say more)","Horse-sized duck","Kevin Malone"
"2022/05/12 1:33:52 PM CDT","70","24","Male","11","Gold and White","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Kevin Malone"
"2022/05/12 1:35:30 PM CDT","73","23","Male","12","Blue and Black","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Kevin Malone"
"2022/05/12 1:36:02 PM CDT","72","26","Male","11.5","Blue and Black","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Kevin Malone"
"2022/05/12 1:38:23 PM CDT","65","22","Male","10","Gold and White","Jacob. (Dreamy werewolf... duh)","Duck-sized horse","Kevin Malone"
"2022/05/12 1:45:05 PM CDT","62","22","Female","6.5","Gold and White","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Pam and Jim"
"2022/05/12 1:50:20 PM CDT","71","23","Male","11","Blue and Black","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Pam and Jim"
"2022/05/12 1:54:00 PM CDT","70","23","Male","10.5","Blue and Black","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Kevin Malone"
"2022/05/12 2:04:59 PM CDT","74","25","Male","11","Gold and White","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Pam and Jim"
"2022/05/12 2:12:40 PM CDT","72","22","","12","Gold and White","Edward. (Hot vampire. Need I say more)","Horse-sized duck","Kevin Malone"
"2022/05/12 2:32:18 PM CDT","71","23","Male","10.5","Gold and White","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Pam and Jim"
"2022/05/12 2:35:26 PM CDT","68","34","Male","10.5","Gold and White","Jacob. (Dreamy werewolf... duh)","Horse-sized duck","Pam and Jim"
"2022/05/12 2:51:29 PM CDT","75","23","Male","12","Blue and Black","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Pam and Jim"
"2022/05/12 3:07:18 PM CDT","66","24","Male","10.5","Blue and Black","Jacob. (Dreamy werewolf... duh)","Horse-sized duck","Kevin Malone"
"2022/05/12 4:26:04 PM CDT","59","31","Female","6","Blue and Black","Jacob. (Dreamy werewolf... duh)","Horse-sized duck","Kevin Malone"
"2022/05/12 4:27:11 PM CDT","70","24","Male","9","Blue and Black","Edward. (Hot vampire. Need I say more)","Duck-sized horse","Pam and Jim"
